Serial,Latitude,Longitude,Type,SensorType,Code,BeginTime,EndTime
PI040307AD5I204915,16.575,47.68,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_477kfs99,2018-10-17T07:04:33.000Z,2018-10-19T06:04:33.000Z
PI040297AD5J210445,19.362,47.594,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_6nncw98e,2018-10-14T11:40:01.000Z,2019-06-11T23:16:25.000Z
PI040297AD5I206201,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_cyza0e03,2018-09-01T20:02:36.000Z,2019-04-24T17:30:53.000Z
PI040297AD5I209900,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_5kc81f8r,2018-09-03T19:41:33.000Z,2019-09-05T17:28:13.000Z
"PI040297AD5J210724. FuturePractice:,Id:382,LandCoverOverlay:,LandCoverTypes:[Additional:[Other broad leaved and coniferous trees],Cover:76-90%,Id:4054,Name:Trees,Additional:[Other shrubs],Cover:51-75%,Id:4055,Name:Shrubs,Additional:[],Cover:26-50%,Id:4057,Name:Other ground covering plants (weeds, grasses)],LandManagement:,LandUseArea:Large (natural) park or forest,LandUseSpot:Forest,Latitude:47.309803,Longitude:18.4156017,ParcelSize:501  1000 sqm,Photos:,SensorId:MIS_KP_EDF7,SensorMissionManagement:false,SensorOnMulchedGround:true,SensorOvergrown:true,SensorShadedByTrees:true,SlopeAspect:NY,SlopePosition:Footslope,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-10-20T14:02:13.400946+00:",18.414,47.31,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_dg502301,2018-10-13T16:28:46.000Z,2018-11-10T12:27:59.000Z
PI040297AA3J001785,18.201,47.36,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_54z49pmh,2018-09-29T12:34:32.000Z,2019-09-28T10:30:43.000Z
PI040298AD5I214111,18.2,47.361,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_97b6bcc5,2018-09-29T12:50:19.000Z,2019-06-03T09:40:06.000Z
PI040307AD5I204813,18.201,47.36,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_1sjxcnrx,2018-09-27T12:43:27.000Z,2019-09-28T10:22:29.000Z
PI040307AD5I204404,19.13,47.781,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_hpaeaxf0,2018-10-21T11:50:38.000Z,2019-10-26T13:46:13.000Z
PI040297AA3J002013,19.13,47.781,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_x06qq514,2018-10-21T11:47:44.000Z,2019-10-26T13:45:03.000Z
PI040307AD5I203505,19.13,47.781,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_a3t6v40w,2018-10-21T11:46:04.000Z,2019-10-26T13:36:00.000Z
PI040307AD5G201765,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_8em4zdze,2018-08-08T10:59:29.000Z,2018-12-11T15:44:04.000Z
PI040298AD5I214139,-8.634,37.139,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_nbp2bcfy,2018-08-25T09:50:39.000Z,2018-11-15T09:19:36.000Z
PI040298AD5I213081,-8.634,37.139,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_3svn95gt,2018-09-24T15:04:18.000Z,2018-11-14T15:18:05.000Z
PI040298AD5I213035,-8.634,37.138,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_kq6v66q6,2018-09-24T14:55:16.000Z,2018-11-15T09:23:54.000Z
PI040297AD5I209158,4.716,51.513,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_t8dm0x5v,2018-10-12T06:23:15.000Z,2019-06-25T17:13:51.000Z
PI040297AD5I208163,4.716,51.514,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_fnhdybrs,2018-10-12T06:40:41.000Z,2018-10-27T08:10:41.000Z
PI040297AD5J210516,0.0,0.0,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_tynyzz7v,2018-09-29T15:35:53.000Z,2018-10-27T12:20:53.000Z
"PI040307AD5G202350. FuturePractice:,Id:386,LandCoverOverlay:,LandCoverTypes:[Additional:[Other broad leaved and coniferous trees],Cover:51-75%,Id:4054,Name:Trees,Additional:[],Cover:26-50%,Id:4057,Name:Other ground covering plants (weeds, grasses)],LandManagement:,LandUseArea:Large (natural) park or forest,LandUseSpot:Forest,Latitude:47.66874,Longitude:22.017,ParcelSize:1  5 ha,Photos:,SensorId:MIS_KG_A349,SensorMissionManagement:false,SensorOnMulchedGround:false,SensorOvergrown:true,SensorShadedByTrees:true,SlopeAspect:,SlopePosition:Micro-high,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-10-27T13:49:47.878008+00:",22.044,47.69,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_z6mzpepq,2018-10-06T06:58:42.000Z,2018-10-27T13:43:42.000Z
PI040298AD5I213020,-8.632,37.14,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_gffhc4gz,2018-09-24T11:07:13.000Z,2018-11-15T10:36:11.000Z
PI040298AD5I211844,18.544,46.748,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_mz54hpsr,2018-10-20T11:25:37.000Z,2018-12-30T16:00:08.000Z
PI040298AD5I212829,-8.633,37.139,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_hbwqrwfj,2018-09-24T10:28:40.000Z,2018-11-08T10:42:35.000Z
PI040297AD5J210878,16.619,47.695,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_rarw37kn,2018-10-14T15:28:18.000Z,2019-06-29T17:02:58.000Z
PI040297AD5I206057,16.495,46.932,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_vqyrbyp1,2018-10-02T16:29:26.000Z,2018-10-30T14:58:39.000Z
PI040298AD5I212332,6.017,49.737,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_63egxgj1,2018-10-25T15:45:12.000Z,2019-05-14T14:51:09.000Z
PI040298AA3I003624,25.853,40.89,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_sfjzwyse,2017-11-22T09:56:20.000Z,2019-10-25T10:00:20.000Z
